Producción de bienes y servicios (in 2002 prices, mil. rub.);Activos fijos al final del año a costo total (in 2002 prices, mil. rub.);Compensación de empleados (in 2002 prices, mil. rub.)
18990498,6;26333273;5065100,6
20779544,2;28726148,21;5563739,286
23572885,44;27875786,55;6270812,044
26683373,46;29907357,3;6828775,952
30565888,91;31402797,52;7925772,697
34127831,89;35687502,79;9174944,879
37345118,49;38841769,86;10201741,33
32653810,03;39454575,1;9784963,81
36153969,28;41058382,36;10132075,06
41990646,49;44850403,96;10891350,95
43845211,08;47255470,35;11531382,15
44483025,81;48854471,44;12126972,22
43033424,35;48423109,79;11987036,01
41026587,3;46754084,45;11092289,72
